sep=;
Identificativo;Titolo;Autore;Destinatario;Tipologia;Data;Luogo;Collocazione;Traduttore;Versione digitale;Editore;Contributore;Copertura;Diritti;Descrizione;Immagine
item1;Lettera di Gracia Nasi al duca Ercole II d'Este;Gracia Nasi;Ercole II d’Este;Lettera manoscritta;13/09/1549;Ferrara;ASMo, ASE, Cancelleria, Carteggio di Particolari, b. 749, fasc “Luny.”;;https://muse.jhu.edu/article/944939/--;Università di Bologna;Raffaella Pelizzari;Bologna;Open access;Lettera scritta da Doña Gracia al duca Ercole II d'Este che illustra come la comunità dei conversos cercò attivamente il suo aiuto quando venne decretata la loro espulsione da Ferrara per la peste.;lettera-Gracia.jpeg
item2;Biblia de Ferrara;Johan Radermacher, Gracia Nasi, Yom Tob Athias, Abraham Usque;;Frontespizio di libro a stampa;1553;Ferrara;National library of Portugal;Abraham Usque;https://www.europeana.eu/it/item/10501/bib_rnod_37832;Università di Bologna;Raffaella Pelizzari;Bologna;Public domain;"La Biblia en lengua española stampata a Ferrara tra il 1551 e il 1553. Il frontespizio presenta l'immagine di una nave alla deriva, figura che rispecchia l'odissea degli esuli.
";Biblia.jpg
item3;Donna in rosso con bambino (Gracia Nasi?);Agnolo Bronzino;;Dipinto ad olio;1540 circa;;National Gallery of Art, Washington DC;;https://upload.wikimedia.org/wikipedia/commons/e/ec/Agnolo_Bronzino_-_A_Young_Woman_and_Her_Little_Boy_-_Google_Art_Project.jpg;Università di Bologna;Raffaella Pelizzari;Bologna;Public domain;La donna ritratta nel dipinto molto probabilmente non è Gracia Nasi ma per molto tempo si è ritenuto che questo fosse l’unica immagine esistente della Senora.;Gracianasi2.jpg
item4;Francobollo commemorativo Gracia Nasi;Stato di Israele;;Francobollo;1991;Israele;;;https://images.forwardcdn.com/image/675x/center/images/cropped/b-51612dona-gracianasi-1425722679.jpg;Università di Bologna;Raffaella Pelizzari;Bologna;Public domain;Francobollo commemorativo emesso dallo stato di Israele nel 1991;Francobollo.jpg
item5;"Medaglia Gracia Nasi ""La Chica""";Pastorino di Giovan Michele de’Pastorini;;Medaglia ;1558;Ferrara;Jewish Museum of New York;;https://upload.wikimedia.org/wikipedia/commons/9/9c/Gracianasimedal.jpg;Università di Bologna;Raffaella Pelizzari;Bologna;Public domain;"Medaglia raffigurativa di Gracia Nasi “La Chica”, il più antico esempio conosciuto con soggetto ebraico e iscrizione in ebraico.
";Moneta.jpg
item6;Pietra commemorativa per i 500 anni di Gracia Nasi;n.d.;;;2011;Tiberiade;Museo Dona Gracia;;https://upload.wikimedia.org/wikipedia/commons/9/9e/PikiWiki_Israel_11851_dona_gracia_lookout_tiberias.jpg;Università di Bologna;Raffaella Pelizzari;Bologna;Creative Commons;Pietra e targa commemorative per i 500 anni di Gracia Nasi davanti al museo a lei dedicato a Tiberiade (Israele);lapide.jpg
item7;Traduzione della lettera del Gran Visir Rustem Pascià a Ercole II d’Este;Gran Visir Rustem Pascià;Ercole II d’Este;Lettera manoscritta;1558;Costantinopoli;ASMo, ASE, Cancelleria, Carteggio Principi Esteri, b. 1612, fasc. Turchia;Ibrahim Bey;https://www.filodiritto.com/sites/default/files/styles/xl/public/2021-04/foto_10_asmo_ase_cancelleria_carteggio_di_principi_esteri_b._1612_fasc._turchia_particolare_della_traduzione_di_ibrahim_bey.jpg?itok=sgHSL3Pb;Università di Bologna;Raffaella Pelizzari;Bologna;Archivio di Stato di Modena;Traduzione ufficiale in italiano della lettera del Gran Visir Rustem Pascià, redatta presso la cancelleria di Costantinopoli da Ibrahim Bey.;Manoscritto1.jpg
item8;Documento di credito Gracia Benveniste;Cancelleria estense;;Documento notarile: lettera di credito;N.d.;Ferrara;ASMo, ASE, Cancelleria, Carteggi di Particolari, b. 131, fasc. Benvenisti;;https://www.filodiritto.com/sites/default/files/styles/lg/public/2021-04/foto_11_asmo_ase_cancelleria_carteggi_di_particolari_b._131_fasc._benvenisti.jpg?itok=S14jvWRD;Università di Bologna;Raffaella Pelizzari;Bologna;Archivio di Stato di Modena;Memoria che certifica che Beatrice “La Chica” (in ebraico Gracia Benvenisti) era creditrice del Duca per la somma di 10.600 scudi d’oro.;manoscritto2.jpg
item9;Lettera di Brianda al duca Ercole II d'Este;Brianda de Luna;Ercole II d’Este;Lettera manoscritta;1547;Venezia;ASMo, ASE, Carteggio di Particolari, b. 747, particolare di una lettera di Brianda de Luna del 1547;;https://www.filodiritto.com/sites/default/files/styles/lg/public/2021-04/foto_3_asmo_ase_carteggio_di_particolari_b._747_particolare_di_una_lettera_di_brianda_de_luna_del_1547.jpg?itok=-6KjdNbD;Università di Bologna;Raffaella Pelizzari;Bologna;Archivio di Stato di Modena;Lettera di Brianda de Luna al duca Ercole II d’Este nella quale richiede la sua mediazione nel contenzioso con la sorella, nell’imminenza della partenza da Venezia per Ferrara.;lettera-Branda.jpg
item10;Frontespizio Consolaçam ás tribulaçoens de Israel;Samuel Usque;;Riproduzione del frontespizio originale;1553;Ferrara;Non più esistente;;https://it.wikipedia.org/wiki/Samuel_Usque#/media/File:Consolasam_samuel_usque.jpg;Università di Bologna;Raffaella Pelizzari;Bologna;Public domain;Riproduzione del frontespizio della prima edizione del testo, andata perduta. Il testo racconta la storia delle persecuzioni subite dal popolo ebraico nel corso della sua storia, offrendo parole di consolazione e di speranza. Gracia Nasi, a cui l’opera è dedicata, è definita la sesta via per la consolazione di Israele.;Consolacam_samuel_usque.jpg